date;PC1;PC2;PC3
2016-11-01T00:00:00Z;-1,503462e-01;-0,25123343;-0,141604916
2016-11-01T01:00:00Z;-1,072992e-01;-0,15982216;-0,309740748
2016-11-01T02:00:00Z;-2,349393e-01;-0,38496537;-0,146702562
2016-11-01T03:00:00Z;-6,171800e-02;-0,18119364;-0,194327015
2016-11-01T04:00:00Z;-8,137948e-02;-0,21436312;-0,282763035
2016-11-01T05:00:00Z;-1,503436e-01;-0,44462366;-0,091738980
2016-11-01T06:00:00Z;-2,177147e-01;-0,34668806;-0,100408031
2016-11-01T07:00:00Z;-1,340498e-01;-0,14741392;-0,229638877
2016-11-01T08:00:00Z;-8,490023e-02;-0,20596516;-0,189522910
2016-11-01T09:00:00Z;-1,490791e-01;-0,26476603;-0,182147729
2016-11-01T10:00:00Z;-1,529209e-02;-0,26393397;-0,195823023
2016-11-01T11:00:00Z;-1,356401e-02;-0,32855079;-0,313461550
2016-11-01T12:00:00Z;-8,922019e-02;-0,22017638;-0,235046422
2016-11-01T13:00:00Z;-4,343384e-02;-0,31873539;-0,258921940
2016-11-01T14:00:00Z;-5,383952e-02;-0,32156638;-0,229898761
2016-11-01T15:00:00Z;-2,627102e-02;-0,38791240;-0,273621158
2016-11-01T16:00:00Z;-4,035997e-02;-0,37844749;-0,230859614
2016-11-01T17:00:00Z;-1,023098e-01;-0,42127885;-0,170511276
2016-11-01T18:00:00Z;-5,649502e-02;-0,30830613;-0,219787274
2016-11-01T19:00:00Z;-1,034001e-01;-0,36721096;-0,193496394
2016-11-01T20:00:00Z;-1,015962e-01;-0,25061392;-0,221381044
2016-11-01T21:00:00Z;-1,347384e-01;-0,41114721;-0,226275131
2016-11-01T22:00:00Z;-1,494013e-01;-0,40497216;-0,141902546
2016-11-01T23:00:00Z;-6,767601e-02;-0,21422292;-0,253823353
2016-11-02T00:00:00Z;-1,004707e-01;-0,28834622;-0,137551745
2016-11-02T01:00:00Z;-8,601020e-02;-0,23623860;-0,165007135
2016-11-02T02:00:00Z;-7,124385e-02;-0,21315504;-0,223811272
2016-11-02T03:00:00Z;-6,154171e-02;-0,36888412;-0,252768332
2016-11-02T04:00:00Z;-1,845147e-01;-0,25114857;-0,180585124
2016-11-02T05:00:00Z;-3,770917e-02;-0,40398285;-0,274388326
2016-11-02T06:00:00Z;-1,308390e-01;-0,35803827;-0,146231896
2016-11-02T07:00:00Z;-1,790150e-01;-0,37398854;-0,125532882
2016-11-02T08:00:00Z;-1,121076e-01;-0,26865745;-0,160117661
2016-11-02T09:00:00Z;-8,464732e-02;-0,53413256;-0,190283033
2016-11-02T10:00:00Z;-7,094400e-02;-0,48558319;-0,169349416
2016-11-02T11:00:00Z;-6,380946e-02;-0,28604401;-0,178205747
2016-11-02T12:00:00Z;-1,043092e-01;-0,32809109;-0,201281450
2016-11-02T13:00:00Z;-6,708432e-02;-0,24717769;-0,141372959
2016-11-02T14:00:00Z;-5,876341e-02;-0,41783687;-0,226464693
2016-11-02T15:00:00Z;-5,559097e-02;-0,35233121;-0,261388881
2016-11-02T16:00:00Z;-4,407750e-02;-0,33762880;-0,199063909
2016-11-02T17:00:00Z;-8,027050e-02;-0,45442990;-0,184750598
2016-11-02T18:00:00Z;-1,100714e-01;-0,51871873;-0,164804392
2016-11-02T19:00:00Z;-3,922014e-02;-0,41355042;-0,204078424
2016-11-02T20:00:00Z;-2,672408e-02;-0,29643054;-0,241334606
2016-11-02T21:00:00Z;-7,134093e-02;-0,42927357;-0,118077924
2016-11-02T22:00:00Z;-6,423010e-02;-0,39441989;-0,158674635
2016-11-02T23:00:00Z;-1,523744e-01;-0,29502178;-0,125658150
2016-11-03T00:00:00Z;-1,207406e-01;-0,19706369;-0,210670337
2016-11-03T01:00:00Z;-1,255826e-01;-0,32948394;-0,167338931
2016-11-03T02:00:00Z;-9,297678e-03;-0,23301571;-0,203949603
2016-11-03T03:00:00Z;-3,283323e-02;-0,23540834;-0,231998236
2016-11-03T04:00:00Z;-1,834350e-01;-0,25523018;-0,116211504
2016-11-03T05:00:00Z;-1,549044e-01;-0,30458212;-0,081783177
2016-11-03T06:00:00Z;-1,663229e-01;-0,33343732;-0,109408453
2016-11-03T07:00:00Z;-6,053405e-02;-0,18959092;-0,270546538
2016-11-03T08:00:00Z;-9,320389e-02;-0,19527967;-0,174410435
2016-11-03T09:00:00Z;-1,414518e-01;-0,29108936;-0,179327603
2016-11-03T10:00:00Z;-6,170432e-02;-0,34101077;-0,254476864
